编号,序号,代码,名称,涨跌幅,价格,涨跌额,5分钟涨跌额,今开,昨收,最高,最低,成交量,成交额,换手,量比,委比,振幅,市盈率,流通市值,总市值,每股收益,净利润,主营收
0,1401,600136,当代文体,-0.0252,5.81,-0.15,0.0017,5.96,5.96,6,5.8,29340,17160000,0.0059,1,0.6422,0.0336,-1.7,2829000000,3397000000,-3.34,-1299000000,411000000
1,1402,688668,鼎通科技,-0.0252,25.94,-0.67,0,26.61,26.61,26.7,25.93,6581,17210000,0.0338,0.98,0.3226,0.0289,29.5,502000000,2212000000,0.88,54080000,270000000
2,1403,688008,澜起科技,-0.0252,84.71,-2.19,-0.0007,87,86.9,87.34,83.97,47674,405000000,0.0113,1.06,0.4597,0.0388,89,35520000000,95500000000,0.95,878000000,1468000000
3,1404,603916,苏博特,-0.0253,24.7,-0.64,-0.0024,25.34,25.34,25.44,24.7,18825,46930000,0.0054,1.04,0.6914,0.0292,19,8524000000,8651000000,1.3,302000000,2451000000
4,1405,600277,亿利洁能,-0.0253,2.7,-0.07,0,2.77,2.77,2.77,2.69,96168,26130000,0.0035,1.29,0.1759,0.0289,20.8,7395000000,7395000000,0.13,225000000,8683000000
5,1406,600070,浙江富润,-0.0254,8.07,-0.21,0,8.21,8.28,8.28,8.02,45218,36750000,0.0086,0.89,0.5314,0.0314,8.6,4202000000,4202000000,0.94,348000000,2008000000
6,1407,600530,*ST交昂,-0.0254,2.69,-0.07,-0.0036,2.75,2.76,2.75,2.69,23955,6502000,0.0031,1.52,-0.0246,0.0217,-18.1,2098000000,2098000000,-0.15,54560000,252000000
7,1408,600879,航天电子,-0.0254,7.68,-0.2,-0.0013,7.8,7.88,7.84,7.64,527500,408000000,0.0194,0.83,0.3703,0.0254,46.3,20880000000,20880000000,0.17,343000000,8716000000
8,1409,600871,石化油服,-0.0254,1.92,-0.05,0,1.97,1.97,1.97,1.91,307800,59370000,0.0023,1.93,0.034,0.0305,87.3,26050000000,36450000000,0.02,232000000,46420000000
9,1410,601989,中国重工,-0.0254,4.22,-0.11,0.0023,4.33,4.33,4.33,4.2,691400,294000000,0.0038,1.36,0.2503,0.03,-116.9,76970000000,95990000000,-0.04,-112000000,24770000000
10,1411,601598,中国外运,-0.0254,4.22,-0.11,0,4.34,4.33,4.34,4.19,221400,93980000,0.0163,1.32,0.5566,0.0346,11.4,5704000000,31230000000,0.37,2081000000,62290000000
11,1412,600213,亚星客车,-0.0255,6.89,-0.18,0.0014,6.98,7.07,7.07,6.8,53218,36750000,0.0242,1.36,0.6603,0.0382,-17.2,1514000000,1514000000,-0.4,-88170000,1339000000
12,1413,688081,兴图新科,-0.0255,28.65,-0.75,-0.0024,29.11,29.4,29.16,28.52,2042,5878000,0.0065,1.55,0.5832,0.0218,29.8,891000000,2107000000,0.96,1703000,73440000
13,1414,603388,元成股份,-0.0255,5.73,-0.15,-0.0051,5.86,5.88,5.89,5.68,8685,5013000,0.003,1.97,0.3568,0.0357,15.5,1634000000,1634000000,0.37,62970000,523000000
