,序号,代码,名称,价格,涨跌幅,涨跌额,5分钟涨跌额,今开,昨收,最高,最低,成交量,成交额,换手,量比,委比,振幅,市盈率,流通市值,总市值,每股收益,净利润,主营收
0,2,300939,N秋田微,61.22,0.6466,24.04,-0.0438,67.55,37.18,70.01,60.33,40255,262000000.0,0.20129999999999998,0,-0.28300000000000003,0.26039999999999996,42.5,1224000000.0,4898000000.0,1.44,61550000.0,600000000.0
1,3,3036,N泰坦,8.24,0.44060000000000005,2.52,0.0664,6.86,5.72,8.24,6.86,2709,2208000.0,0.005,0,1.0,0.2413,22.3,445000000.0,1780000000.0,0.37,42010000.0,451000000.0
2,4,300010,豆神教育,9.23,0.1864,1.45,-0.0051,7.71,7.78,9.33,7.6,421400.0,356000000.0,0.048499999999999995,10.09,-0.0642,0.2224,-65.5,8015000000.000001,8015000000.000001,-0.14,-93490000.0,1303000000.0
3,5,300828,锐新科技,28.4,0.16390000000000002,4,0.0148,25.39,24.4,29.2,24.5,32995,91490000.0,0.1197,13.98,0.062400000000000004,0.19260000000000002,41.8,783000000.0,3132000000.0,0.68,46010000.0,268000000.00000003
4,6,300312,邦讯技术,3.96,0.1412,0.49,-0.0202,3.46,3.47,4.07,3.4,178000.0,66960000.0,0.0562,10.52,0.36939999999999995,0.1931,-17.3,1255000000.0,1267000000.0,-0.23,-86150000.0,16970000.0
5,7,300148,天舟文化,3.54,0.1383,0.43,-0.0032,3.1,3.11,3.68,3.08,439000.0,150000000.0,0.052199999999999996,17.89,-0.2779,0.1929,-50.6,2976000000.0,2976000000.0,-0.07,27580000.0,555000000.0
6,8,2619,艾格拉斯,1.93,0.10289999999999999,0.18,0.0,1.93,1.75,1.93,1.93,368000.0,71020000.0,0.0254,3.53,1.0,0.0,-1.3,2800000000.0,3561000000.0,-1.49,33810000.0,202999999.99999997
7,9,2740,爱迪尔,4.24,0.1013,0.39,0.0,3.83,3.85,4.24,3.82,50365,20700000.0,0.0148,1.89,1.0,0.1091,-5.5,1443000000.0,1925000000.0,-0.77,26920000.0,860000000.0
8,10,2181,粤 传 媒,4.36,0.10099999999999999,0.4,0.0,4.19,3.96,4.36,4.1,59994,25650000.0,0.0053,17.29,1.0,0.06570000000000001,23.1,4946000000.0,5062000000.0,0.19,240000000.0,360000000.0
9,11,600576,祥源文化,4.26,0.1008,0.39,0.0,4.26,3.87,4.26,4.26,36434,15520000.0,0.0058,9.93,1.0,0.0,-2.9,2639000000.0,2639000000.0,-1.45,3772000.0,269000000.0
10,12,601619,嘉泽新能,4.48,0.1007,0.41,0.0,4.25,4.07,4.48,4.11,1353000.0,589000000.0,0.0653,28.89,1.0,0.0909,36.8,9292000000.0,9292000000.0,0.12,193000000.0,800000000.0
11,13,600531,豫光金铅,5.58,0.10060000000000001,0.51,0.0,5.3,5.07,5.58,5.21,370600.0,200999999.99999997,0.034,8.2,1.0,0.073,16,6084000000.0,6084000000.0,0.35,243000000.00000003,12750000000.0
12,14,3035,南网能源,3.94,0.10060000000000001,0.36,0.0,3.94,3.58,3.94,3.94,7224,2846000.0,0.001,3.34,1.0,0.0,43.8,2985000000.0,14919999999.999998,0.09,261000000.0,1465000000.0
